"Displacement Vector:0","Displacement Vector:1","Displacement Vector:2","Strain:0","Strain:1","Strain:2","Strain:3","Strain:4","Strain:5","Strain:6","Strain:7","Strain:8","Stress:0","Stress:1","Stress:2","Stress:3","Stress:4","Stress:5","Stress:6","Stress:7","Stress:8",":0",":1",":2"
-0.49493,0.00085543,0,0.024987,-0.0068743,0,-0.0068743,-0.0072284,0,0,0,0,250.75,-52.879,0,-52.879,2.9417,0,0,0,58.545,-0.10647,-0.033676,0
-0.49019,0.0030652,0,0.034331,-0.0095837,0,-0.0095837,-0.010046,0,0,0,0,344.14,-73.721,0,-73.721,2.7797,0,0,0,80.06,-0.012825,-0.064925,0
-0.48547,0.0069104,0,0.022935,-0.0051204,0,-0.0051204,-0.0061347,0,0,0,0,231.81,-39.388,0,-39.388,8.1961,0,0,0,55.386,0.080806,-0.094097,0
-0.48092,0.012154,0,0.031009,-0.0072996,0,-0.0072996,-0.0091011,0,0,0,0,310.75,-56.151,0,-56.151,2.2154,0,0,0,72.224,0.17433,-0.12147,0
-0.47662,0.018409,0,0.021074,-0.0037684,0,-0.0037684,-0.0058854,0,0,0,0,212.18,-28.988,0,-28.988,4.799,0,0,0,50.071,0.26769,-0.14726,0
-0.47255,0.025392,0,0.02034,-0.0032709,0,-0.0032709,-0.0058113,0,0,0,0,204.35,-25.161,0,-25.161,3.1926,0,0,0,47.895,0.36084,-0.17165,0
-0.46873,0.032876,0,0.019784,-0.0029344,0,-0.0029344,-0.0056912,0,0,0,0,198.65,-22.572,0,-22.572,2.6826,0,0,0,46.461,0.45374,-0.19479,0
-0.46514,0.040677,0,0.019359,-0.0027482,0,-0.0027482,-0.0055744,0,0,0,0,194.35,-21.14,0,-21.14,2.562,0,0,0,45.442,0.54637,-0.2168,0
-0.46175,0.048645,0,0.018923,-0.0025888,0,-0.0025888,-0.0055197,0,0,0,0,189.75,-19.914,0,-19.914,1.7294,0,0,0,44.188,0.63871,-0.23779,0
-0.45856,0.056659,0,0.018923,-0.0025888,0,-0.0025888,-0.0055197,0,0,0,0,189.75,-19.914,0,-19.914,1.7294,0,0,0,44.188,0.73075,-0.25785,0
-0.45554,0.064622,0,0.017296,-0.0022018,0,-0.0022018,-0.0050297,0,0,0,0,173.48,-16.937,0,-16.937,1.7466,0,0,0,40.437,0.82248,-0.27705,0
-0.45267,0.07247,0,0.017296,-0.0022018,0,-0.0022018,-0.0050297,0,0,0,0,173.48,-16.937,0,-16.937,1.7466,0,0,0,40.437,0.91389,-0.29547,0
-0.44992,0.080138,0,0.016427,-0.0020332,0,-0.0020332,-0.0047253,0,0,0,0,164.94,-15.64,0,-15.64,2.2278,0,0,0,38.576,1.005,-0.31317,0
-0.44731,0.087597,0,0.016427,-0.0020332,0,-0.0020332,-0.0047253,0,0,0,0,164.94,-15.64,0,-15.64,2.2278,0,0,0,38.576,1.0957,-0.33018,0
-0.44478,0.094818,0,0.018374,-0.0021637,0,-0.0021637,-0.0054933,0,0,0,0,183.81,-16.644,0,-16.644,0.20824,0,0,0,42.465,1.1862,-0.34657,0
-0.44235,0.10177,0,0.018493,-0.0021887,0,-0.0021887,-0.0054704,0,0,0,0,185.19,-16.836,0,-16.836,0.85294,0,0,0,42.933,1.2763,-0.36238,0
-0.43998,0.10844,0,0.018596,-0.0022408,0,-0.0022408,-0.0054705,0,0,0,0,186.32,-17.237,0,-17.237,1.1903,0,0,0,43.271,1.3661,-0.37763,0
-0.43769,0.11484,0,0.018657,-0.0022418,0,-0.0022418,-0.0054924,0,0,0,0,186.92,-17.245,0,-17.245,1.1511,0,0,0,43.4,1.4555,-0.39236,0
-0.43545,0.12094,0,0.018669,-0.0022878,0,-0.0022878,-0.0055202,0,0,0,0,186.96,-17.599,0,-17.599,0.88524,0,0,0,43.348,1.5446,-0.40661,0
-0.43327,0.12677,0,0.018648,-0.0023231,0,-0.0023231,-0.0055788,0,0,0,0,186.53,-17.87,0,-17.87,0.17193,0,0,0,43.086,1.6334,-0.4204,0
-0.43113,0.13231,0,0.016473,-0.0018393,0,-0.0018393,-0.0046828,0,0,0,0,165.59,-14.148,0,-14.148,2.8477,0,0,0,38.869,1.7219,-0.43376,0
-0.42904,0.13759,0,0.016473,-0.0018393,0,-0.0018393,-0.0046828,0,0,0,0,165.59,-14.148,0,-14.148,2.8477,0,0,0,38.869,1.81,-0.4467,0
-0.42697,0.14259,0,0.018878,-0.0021333,0,-0.0021333,-0.0055998,0,0,0,0,188.99,-16.41,0,-16.41,0.6982,0,0,0,43.774,1.8979,-0.45925,0
-0.42494,0.14736,0,0.019096,-0.0021373,0,-0.0021373,-0.0056854,0,0,0,0,191.11,-16.441,0,-16.441,0.4776,0,0,0,44.212,1.9854,-0.47143,0
-0.42294,0.15188,0,0.017187,-0.0019059,0,-0.0019059,-0.0049524,0,0,0,0,172.55,-14.661,0,-14.661,2.24,0,0,0,40.335,2.0726,-0.48325,0
-0.42097,0.15616,0,0.019206,-0.0021203,0,-0.0021203,-0.0057471,0,0,0,0,192.11,-16.31,0,-16.31,0.16227,0,0,0,44.371,2.1595,-0.49474,0
-0.41902,0.16021,0,0.017346,-0.001891,0,-0.001891,-0.0050015,0,0,0,0,174.13,-14.546,0,-14.546,2.2232,0,0,0,40.696,2.246,-0.5059,0
-0.41709,0.16405,0,0.019556,-0.0020713,0,-0.0020713,-0.005803,0,0,0,0,195.77,-15.933,0,-15.933,0.70265,0,0,0,45.341,2.3323,-0.51675,0
-0.41517,0.16768,0,0.019703,-0.0020991,0,-0.0020991,-0.0058231,0,0,0,0,197.31,-16.147,0,-16.147,0.96339,0,0,0,45.756,2.4182,-0.52731,0
-0.41328,0.17112,0,0.019704,-0.0021004,0,-0.0021004,-0.0058204,0,0,0,0,197.34,-16.157,0,-16.157,0.9976,0,0,0,45.77,2.5039,-0.53758,0
-0.4114,0.17438,0,0.019815,-0.0021033,0,-0.0021033,-0.0058763,0,0,0,0,198.38,-16.179,0,-16.179,0.75015,0,0,0,45.952,2.5892,-0.54758,0
-0.40954,0.17747,0,0.018374,-0.0018969,0,-0.0018969,-0.0053571,0,0,0,0,184.25,-14.591,0,-14.591,1.703,0,0,0,42.912,2.6743,-0.55731,0
