"Displacement Vector:0","Displacement Vector:1","Displacement Vector:2","Strain:0","Strain:1","Strain:2","Strain:3","Strain:4","Strain:5","Strain:6","Strain:7","Strain:8","Stress:0","Stress:1","Stress:2","Stress:3","Stress:4","Stress:5","Stress:6","Stress:7","Stress:8","Points:0","Points:1","Points:2"
-0.020805,0.08497,0,0.014306,-0.0013891,0,-0.0013891,-0.0042839,0,0,0,0,143.09,-10.685,0,-10.685,0.087136,0,0,0,33.04,3,12,0
7.3633e-05,0.032626,0,-0.00073141,-1.8546e-05,0,-1.8546e-05,0.0024008,0,0,0,0,-0.12262,-0.14266,0,-0.14266,23.972,0,0,0,5.5036,6,9,0
-3.4476e-05,0.032621,0,-0.00070904,-5.7594e-06,0,-5.7594e-06,0.002356,0,0,0,0,-0.024474,-0.044303,0,-0.044303,23.553,0,0,0,5.4297,6.15,9,0
-5.2263e-05,0.03262,0,-0.00070898,6.2409e-06,0,6.2409e-06,0.0023564,0,0,0,0,-0.022503,0.048007,0,0.048007,23.558,0,0,0,5.4312,6.175,9,0
-0.00016048,0.032618,0,-0.00073224,9.2936e-06,0,9.2936e-06,0.0023935,0,0,0,0,-0.15602,0.07149,0,0.07149,23.888,0,0,0,5.4766,6.325,9,0
0.020794,0.084923,0,0.014307,0.0013892,0,0.0013892,-0.0042843,0,0,0,0,143.1,10.686,0,10.686,0.086972,0,0,0,33.043,9.325,12,0
-0.0021183,0.083642,0,0.0023123,-0.00057567,0,-0.00057567,-0.00051983,0,0,0,0,23.696,-4.4283,0,-4.4283,1.9104,0,0,0,5.9091,3,12.3,0
0.0021089,0.083595,0,0.0023119,0.00057412,0,0.00057412,-0.00052087,0,0,0,0,23.688,4.4163,0,4.4163,1.8977,0,0,0,5.9044,9.325,12.3,0
7.331e-05,0.03253,0,-0.00073041,-9.3229e-06,0,-9.3229e-06,0.0023883,0,0,0,0,-0.15291,-0.071715,0,-0.071715,23.837,0,0,0,5.4656,6,8.96,0
7.2783e-05,0.032433,0,-0.00072982,-4.0995e-06,0,-4.0995e-06,0.002379,0,0,0,0,-0.17725,-0.031535,0,-0.031535,23.736,0,0,0,5.4367,6,8.9192,0
7.2045e-05,0.032335,0,-0.00072971,-1.5533e-06,0,-1.5533e-06,0.0023749,0,0,0,0,-0.1896,-0.011948,0,-0.011948,23.692,0,0,0,5.4236,6,8.8776,0
7.1136e-05,0.032234,0,-0.00073065,-5.6378e-08,0,-5.6378e-08,0.0023747,0,0,0,0,-0.20029,-0.00043368,0,-0.00043368,23.687,0,0,0,5.4201,6,8.8351,0
7.0095e-05,0.032131,0,-0.00072999,4.9893e-08,0,4.9893e-08,0.0023732,0,0,0,0,-0.19817,0.00038379,0,0.00038379,23.672,0,0,0,5.4171,6,8.7918,0
6.8954e-05,0.032027,0,-0.0007306,2.5018e-07,0,2.5018e-07,0.0023746,0,0,0,0,-0.20036,0.0019245,0,0.0019245,23.685,0,0,0,5.4196,6,8.7477,0
6.7736e-05,0.03192,0,-0.00073031,2.4369e-07,0,2.4369e-07,0.0023737,0,0,0,0,-0.20003,0.0018745,0,0.0018745,23.677,0,0,0,5.4178,6,8.7026,0
6.6453e-05,0.031811,0,-0.00073065,1.9834e-07,0,1.9834e-07,0.0023747,0,0,0,0,-0.20028,0.0015257,0,0.0015257,23.687,0,0,0,5.4201,6,8.6567,0
6.5112e-05,0.0317,0,-0.00073049,1.8499e-07,0,1.8499e-07,0.0023742,0,0,0,0,-0.20023,0.001423,0,0.001423,23.682,0,0,0,5.4189,6,8.6098,0
6.3716e-05,0.031586,0,-0.0007307,1.4419e-07,0,1.4419e-07,0.0023749,0,0,0,0,-0.20024,0.0011092,0,0.0011092,23.689,0,0,0,5.4205,6,8.562,0
6.2266e-05,0.031471,0,-0.00073056,1.3762e-07,0,1.3762e-07,0.0023745,0,0,0,0,-0.20014,0.0010586,0,0.0010586,23.685,0,0,0,5.4195,6,8.5132,0
6.0761e-05,0.031353,0,-0.00073073,1.2134e-07,0,1.2134e-07,0.002375,0,0,0,0,-0.20024,0.0009334,0,0.0009334,23.69,0,0,0,5.4208,6,8.4635,0
5.9199e-05,0.031232,0,-0.00073059,1.2068e-07,0,1.2068e-07,0.0023746,0,0,0,0,-0.20007,0.00092829,0,0.00092829,23.686,0,0,0,5.4199,6,8.4127,0
5.7578e-05,0.03111,0,-0.00073076,1.1665e-07,0,1.1665e-07,0.0023751,0,0,0,0,-0.20024,0.00089732,0,0.00089732,23.691,0,0,0,5.421,6,8.361,0
5.5897e-05,0.030985,0,-0.00073062,1.1926e-07,0,1.1926e-07,0.0023747,0,0,0,0,-0.20003,0.00091735,0,0.00091735,23.687,0,0,0,5.4201,6,8.3082,0
-0.021298,0.087603,0,0.014306,-0.0013891,0,-0.0013891,-0.0042839,0,0,0,0,143.09,-10.685,0,-10.685,0.087136,0,0,0,33.04,2.9596,12,0
-0.021792,0.090408,0,0.013937,-0.0013821,0,-0.0013821,-0.004184,0,0,0,0,139.36,-10.631,0,-10.631,-0.031453,0,0,0,32.153,2.9176,12,0
-0.022289,0.093392,0,0.012278,-0.0010878,0,-0.0010878,-0.0036245,0,0,0,0,122.98,-8.368,0,-8.368,0.64842,0,0,0,28.529,2.8738,12,0
