"Displacement Vector:0","Displacement Vector:1","Displacement Vector:2","Strain:0","Strain:1","Strain:2","Strain:3","Strain:4","Strain:5","Strain:6","Strain:7","Strain:8","Stress:0","Stress:1","Stress:2","Stress:3","Stress:4","Stress:5","Stress:6","Stress:7","Stress:8","Points:0","Points:1","Points:2"
-0.022695,0.040045,0,0.013186,-0.00066087,0,-0.00066087,-0.004023,0,0,0,0,131.64,-5.0836,0,-5.0836,-0.73819,0,0,0,30.208,3,12,0
1.82e-05,0.025358,0,-0.00073624,-6.1284e-06,0,-6.1284e-06,0.0024657,0,0,0,0,0.038274,-0.047141,0,-0.047141,24.669,0,0,0,5.7016,6,9,0
-9.5047e-05,0.025386,0,-0.00068639,9.6324e-05,0,9.6324e-05,0.0021965,0,0,0,0,-0.30153,0.74095,0,0.74095,21.875,0,0,0,4.9784,6.15,9,0
-0.00011279,0.025385,0,-0.00068532,-9.6786e-05,0,-9.6786e-05,0.0021901,0,0,0,0,-0.31079,-0.74451,0,-0.74451,21.808,0,0,0,4.9609,6.175,9,0
-0.00022617,0.025349,0,-0.00073669,6.6227e-06,0,6.6227e-06,0.0024693,0,0,0,0,0.0449,0.050944,0,0.050944,24.706,0,0,0,5.7118,6.325,9,0
0.022592,0.03996,0,0.013172,0.00065861,0,0.00065861,-0.0040176,0,0,0,0,131.5,5.0662,0,5.0662,-0.7243,0,0,0,30.18,9.325,12,0
-0.016502,0.039082,0,0.0074211,-0.0008291,0,-0.0008291,-0.0021583,0,0,0,0,74.436,-6.3777,0,-6.3777,0.74763,0,0,0,17.35,3,12.3,0
0.016408,0.038997,0,0.0073294,0.00077463,0,0.00077463,-0.0021167,0,0,0,0,73.565,5.9587,0,5.9587,0.90203,0,0,0,17.185,9.325,12.3,0
2.3967e-05,0.02517,0,-0.00073624,-6.1284e-06,0,-6.1284e-06,0.0024657,0,0,0,0,0.038274,-0.047141,0,-0.047141,24.669,0,0,0,5.7016,6,8.9236,0
2.3575e-05,0.024973,0,-0.00077732,1.3726e-05,0,1.3726e-05,0.0025158,0,0,0,0,-0.24809,0.10558,0,0.10558,25.084,0,0,0,5.7313,6,8.8444,0
2.0304e-05,0.024766,0,-0.00077732,1.3726e-05,0,1.3726e-05,0.0025158,0,0,0,0,-0.24809,0.10558,0,0.10558,25.084,0,0,0,5.7313,6,8.7621,0
1.6468e-05,0.02455,0,-0.0007819,2.3208e-06,0,2.3208e-06,0.0025399,0,0,0,0,-0.21895,0.017852,0,0.017852,25.333,0,0,0,5.7957,6,8.6766,0
1.2831e-05,0.024325,0,-0.00078119,3.848e-07,0,3.848e-07,0.0025413,0,0,0,0,-0.20657,0.00296,0,0.00296,25.351,0,0,0,5.8026,6,8.5879,0
9.402e-06,0.024091,0,-0.00078057,-1.1838e-07,0,-1.1838e-07,0.002541,0,0,0,0,-0.2009,-0.00091058,0,-0.00091058,25.349,0,0,0,5.8035,6,8.4958,0
6.012e-06,0.023849,0,-0.00078026,-8.8422e-08,0,-8.8422e-08,0.0025404,0,0,0,0,-0.19917,-0.00068017,0,-0.00068017,25.345,0,0,0,5.8028,6,8.4002,0
-0.023622,0.041743,0,0.012262,-0.00051056,0,-0.00051056,-0.0036627,0,0,0,0,122.67,-3.9274,0,-3.9274,0.17372,0,0,0,28.348,2.9243,12,0
-0.024593,0.043673,0,0.012262,-0.00051056,0,-0.00051056,-0.0036627,0,0,0,0,122.67,-3.9274,0,-3.9274,0.17372,0,0,0,28.348,2.8429,12,0
-0.025615,0.045855,0,0.01181,-0.00050259,0,-0.00050259,-0.0035839,0,0,0,0,117.96,-3.8661,0,-3.8661,-0.44975,0,0,0,27.119,2.7553,12,0
-0.026691,0.048324,0,0.01181,-0.00050259,0,-0.00050259,-0.0035839,0,0,0,0,117.96,-3.8661,0,-3.8661,-0.44975,0,0,0,27.119,2.6611,12,0
-0.02782,0.051119,0,0.010378,-0.00050825,0,-0.00050825,-0.003092,0,0,0,0,103.85,-3.9096,0,-3.9096,0.2364,0,0,0,24.021,2.5598,12,0
-0.028993,0.054262,0,0.0099224,-0.0004718,0,-0.0004718,-0.0029649,0,0,0,0,99.263,-3.6292,0,-3.6292,0.13018,0,0,0,22.937,2.4507,12,0
-0.030222,0.057807,0,0.010971,-0.00057614,0,-0.00057614,-0.003352,0,0,0,0,109.51,-4.4318,0,-4.4318,-0.66701,0,0,0,25.117,2.3335,12,0
-0.031498,0.061796,0,0.01052,-0.00057207,0,-0.00057207,-0.0032386,0,0,0,0,104.93,-4.4005,0,-4.4005,-0.90727,0,0,0,24.005,2.2073,12,0
