"Displacement Vector:0","Displacement Vector:1","Displacement Vector:2","Strain:0","Strain:1","Strain:2","Strain:3","Strain:4","Strain:5","Strain:6","Strain:7","Strain:8","Stress:0","Stress:1","Stress:2","Stress:3","Stress:4","Stress:5","Stress:6","Stress:7","Stress:8","Points:0","Points:1","Points:2"
-0.022763,0.042265,0,0.012866,-0.00049663,0,-0.00049663,-0.003876,0,0,0,0,128.6,-3.8202,0,-3.8202,-0.17923,0,0,0,29.636,3,12,0
7.864e-05,0.027667,0,-0.00076606,-2.3473e-05,0,-2.3473e-05,0.0024964,0,0,0,0,-0.18847,-0.18056,0,-0.18056,24.907,0,0,0,5.7043,6,9,0
-3.5148e-05,0.027704,0,-0.00067714,0.0002038,0,0.0002038,0.0020525,0,0,0,0,-0.67452,1.5677,0,1.5677,20.323,0,0,0,4.5342,6.15,9,0
-5.3578e-05,0.027702,0,-0.00068297,-0.00019136,0,-0.00019136,0.0020726,0,0,0,0,-0.67251,-1.472,0,-1.472,20.524,0,0,0,4.5811,6.175,9,0
-0.00016761,0.027656,0,-0.00075344,1.5399e-05,0,1.5399e-05,0.002477,0,0,0,0,-0.1137,0.11846,0,0.11846,24.736,0,0,0,5.682,6.325,9,0
0.022755,0.042226,0,0.012868,0.00049679,0,0.00049679,-0.0038766,0,0,0,0,128.62,3.8214,0,3.8214,-0.17959,0,0,0,29.641,9.325,12,0
-0.01652,0.041302,0,0.0073702,-0.00083175,0,-0.00083175,-0.0020764,0,0,0,0,74.146,-6.3981,0,-6.3981,1.4795,0,0,0,17.452,3,12.3,0
0.016513,0.041263,0,0.0073717,0.00082863,0,0.00082863,-0.0020791,0,0,0,0,74.153,6.3741,0,6.3741,1.455,0,0,0,17.448,9.325,12.3,0
8.251e-05,0.027568,0,-0.00074975,-1.5542e-05,0,-1.5542e-05,0.002468,0,0,0,0,-0.10283,-0.11956,0,-0.11956,24.649,0,0,0,5.6644,6,8.96,0
8.4617e-05,0.027468,0,-0.00074444,4.552e-07,0,4.552e-07,0.0024549,0,0,0,0,-0.087403,0.0035015,0,0.0035015,24.523,0,0,0,5.639,6,8.9192,0
8.4433e-05,0.027365,0,-0.00075583,1.1741e-05,0,1.1741e-05,0.0024701,0,0,0,0,-0.16273,0.090315,0,0.090315,24.652,0,0,0,5.6514,6,8.8776,0
8.2775e-05,0.027259,0,-0.00077592,1.229e-05,0,1.229e-05,0.0025249,0,0,0,0,-0.20268,0.094535,0,0.094535,25.188,0,0,0,5.766,6,8.8351,0
8.0412e-05,0.027151,0,-0.00077547,1.0402e-05,0,1.0402e-05,0.0025172,0,0,0,0,-0.22331,0.080012,0,0.080012,25.105,0,0,0,5.7419,6,8.7918,0
7.7843e-05,0.027039,0,-0.00078031,4.961e-06,0,4.961e-06,0.00254,0,0,0,0,-0.20108,0.038162,0,0.038162,25.34,0,0,0,5.8013,6,8.7477,0
7.5299e-05,0.026925,0,-0.00078189,3.857e-06,0,3.857e-06,0.0025409,0,0,0,0,-0.21571,0.029669,0,0.029669,25.344,0,0,0,5.7988,6,8.7026,0
7.2864e-05,0.026808,0,-0.00078176,1.0854e-06,0,1.0854e-06,0.0025452,0,0,0,0,-0.20005,0.0083493,0,0.0083493,25.392,0,0,0,5.8135,6,8.6567,0
7.0544e-05,0.026689,0,-0.00078283,6.8472e-07,0,6.8472e-07,0.002547,0,0,0,0,-0.20591,0.0052671,0,0.0052671,25.408,0,0,0,5.8159,6,8.6098,0
6.8303e-05,0.026567,0,-0.00078198,-1.2031e-07,0,-1.2031e-07,0.0025459,0,0,0,0,-0.20001,-0.00092543,0,-0.00092543,25.399,0,0,0,5.8152,6,8.562,0
6.6097e-05,0.026443,0,-0.00078229,-1.7395e-07,0,-1.7395e-07,0.0025467,0,0,0,0,-0.20099,-0.0013381,0,-0.0013381,25.406,0,0,0,5.8166,6,8.5132,0
6.388e-05,0.026316,0,-0.00078189,-1.8002e-07,0,-1.8002e-07,0.0025456,0,0,0,0,-0.20013,-0.0013848,0,-0.0013848,25.396,0,0,0,5.8144,6,8.4635,0
6.1618e-05,0.026187,0,-0.00078177,-1.3839e-07,0,-1.3839e-07,0.0025454,0,0,0,0,-0.19952,-0.0010645,0,-0.0010645,25.394,0,0,0,5.8141,6,8.4127,0
5.9286e-05,0.026056,0,-0.00078182,9.8524e-09,0,9.8524e-09,0.0025453,0,0,0,0,-0.20025,7.5787e-05,0,7.5787e-05,25.393,0,0,0,5.8138,6,8.361,0
5.6866e-05,0.025922,0,-0.00078157,5.0122e-08,0,5.0122e-08,0.0025447,0,0,0,0,-0.19948,0.00038555,0,0.00038555,25.387,0,0,0,5.8126,6,8.3082,0
-0.02327,0.043172,0,0.012866,-0.00049663,0,-0.00049663,-0.003876,0,0,0,0,128.6,-3.8202,0,-3.8202,-0.17923,0,0,0,29.636,2.9596,12,0
