"Displacement Vector:0","Displacement Vector:1","Displacement Vector:2","Strain:0","Strain:1","Strain:2","Strain:3","Strain:4","Strain:5","Strain:6","Strain:7","Strain:8","Stress:0","Stress:1","Stress:2","Stress:3","Stress:4","Stress:5","Stress:6","Stress:7","Stress:8","Points:0","Points:1","Points:2"
-0.033186,0.052864,0,0.011671,-0.00067141,0,-0.00067141,-0.0034498,0,0,0,0,116.88,-5.1647,0,-5.1647,0.56727,0,0,0,27.104,3,12,0
0.00012514,0.026695,0,-0.00075354,-2.5571e-05,0,-2.5571e-05,0.0025038,0,0,0,0,-0.026313,-0.1967,0,-0.1967,25.03,0,0,0,5.7702,6,9,0
1.2241e-05,0.026651,0,-0.00075156,-0.00021769,0,-0.00021769,0.0024746,0,0,0,0,-0.10077,-1.6746,0,-1.6746,24.716,0,0,0,5.6804,6.15,9,0
-4.8453e-06,0.026651,0,-0.00075188,0.00021793,0,0.00021793,0.0024755,0,0,0,0,-0.10148,1.6764,0,1.6764,24.724,0,0,0,5.6822,6.175,9,0
-0.0001178,0.026693,0,-0.00075436,2.566e-05,0,2.566e-05,0.0025067,0,0,0,0,-0.025879,0.19739,0,0.19739,25.059,0,0,0,5.7769,6.325,9,0
0.03318,0.052858,0,0.011679,0.00067172,0,0.00067172,-0.0034519,0,0,0,0,116.96,5.1671,0,5.1671,0.56872,0,0,0,27.121,9.325,12,0
-0.024195,0.051911,0,0.0070487,-0.00079942,0,-0.00079942,-0.0019415,0,0,0,0,71.058,-6.1494,0,-6.1494,1.903,0,0,0,16.837,3,12.3,0
0.02419,0.051904,0,0.0070358,0.0007884,0,0.0007884,-0.0019445,0,0,0,0,70.906,6.0646,0,6.0646,1.8265,0,0,0,16.784,9.325,12.3,0
0.00012151,0.02657,0,-0.00076617,-1.169e-05,0,-1.169e-05,0.0024936,0,0,0,0,-0.19871,-0.089924,0,-0.089924,24.877,0,0,0,5.6949,6,8.9499,0
0.00011951,0.026443,0,-0.0007465,-1.815e-05,0,-1.815e-05,0.0024352,0,0,0,0,-0.17535,-0.13961,0,-0.13961,24.299,0,0,0,5.567,6,8.8985,0
0.00011946,0.026315,0,-0.0007465,-1.815e-05,0,-1.815e-05,0.0024352,0,0,0,0,-0.17535,-0.13961,0,-0.13961,24.299,0,0,0,5.567,6,8.8458,0
0.00011999,0.026185,0,-0.00073529,-8.5545e-06,0,-8.5545e-06,0.0023909,0,0,0,0,-0.1982,-0.065804,0,-0.065804,23.849,0,0,0,5.4579,6,8.7918,0
0.0001204,0.026053,0,-0.00073366,-4.2217e-06,0,-4.2217e-06,0.002385,0,0,0,0,-0.1995,-0.032475,0,-0.032475,23.79,0,0,0,5.444,6,8.7365,0
0.00012047,0.025918,0,-0.00073121,-2.5701e-06,0,-2.5701e-06,0.0023827,0,0,0,0,-0.18025,-0.01977,0,-0.01977,23.773,0,0,0,5.4444,6,8.6797,0
0.00012028,0.02578,0,-0.00073195,-4.4789e-08,0,-4.4789e-08,0.0023801,0,0,0,0,-0.19702,-0.00034453,0,-0.00034453,23.742,0,0,0,5.4334,6,8.6216,0
0.00011992,0.025638,0,-0.00073195,-4.4789e-08,0,-4.4789e-08,0.0023801,0,0,0,0,-0.19702,-0.00034453,0,-0.00034453,23.742,0,0,0,5.4334,6,8.562,0
0.00011945,0.025493,0,-0.00073239,1.5815e-07,0,1.5815e-07,0.0023806,0,0,0,0,-0.20009,0.0012166,0,0.0012166,23.746,0,0,0,5.4337,6,8.5009,0
0.00011891,0.025344,0,-0.00073239,1.5815e-07,0,1.5815e-07,0.0023806,0,0,0,0,-0.20009,0.0012166,0,0.0012166,23.746,0,0,0,5.4337,6,8.4382,0
0.00011832,0.025191,0,-0.0007325,8.3466e-08,0,8.3466e-08,0.002381,0,0,0,0,-0.20006,0.00064205,0,0.00064205,23.75,0,0,0,5.4346,6,8.374,0
0.00011768,0.025034,0,-0.0007325,8.3466e-08,0,8.3466e-08,0.002381,0,0,0,0,-0.20006,0.00064205,0,0.00064205,23.75,0,0,0,5.4346,6,8.3082,0
-0.033739,0.054467,0,0.011274,-0.00056789,0,-0.00056789,-0.0033706,0,0,0,0,112.78,-4.3684,0,-4.3684,0.12882,0,0,0,26.056,2.9492,12,0
-0.034311,0.056186,0,0.011274,-0.00056789,0,-0.00056789,-0.0033706,0,0,0,0,112.78,-4.3684,0,-4.3684,0.12882,0,0,0,26.056,2.8959,12,0
-0.034899,0.05803,0,0.010936,-0.0005489,0,-0.0005489,-0.003288,0,0,0,0,109.34,-4.2223,0,-4.2223,-0.078958,0,0,0,25.214,2.8399,12,0
-0.035508,0.060009,0,0.010936,-0.0005489,0,-0.0005489,-0.003288,0,0,0,0,109.34,-4.2223,0,-4.2223,-0.078958,0,0,0,25.214,2.781,12,0
-0.036137,0.062132,0,0.010618,-0.00055133,0,-0.00055133,-0.0031941,0,0,0,0,106.15,-4.241,0,-4.241,-0.095085,0,0,0,24.475,2.7191,12,0
-0.036785,0.06441,0,0.010618,-0.00055133,0,-0.00055133,-0.0031941,0,0,0,0,106.15,-4.241,0,-4.241,-0.095085,0,0,0,24.475,2.6541,12,0
-0.037455,0.066852,0,0.010321,-0.00055645,0,-0.00055645,-0.0031127,0,0,0,0,103.16,-4.2804,0,-4.2804,-0.17934,0,0,0,23.764,2.5858,12,0
-0.038146,0.069471,0,0.010175,-0.00056937,0,-0.00056937,-0.0030792,0,0,0,0,101.66,-4.3798,0,-4.3798,-0.29411,0,0,0,23.392,2.514,12,0
-0.03886,0.072281,0,0.009474,-0.00052512,0,-0.00052512,-0.0028362,0,0,0,0,94.76,-4.0394,0,-4.0394,0.065629,0,0,0,21.883,2.4386,12,0
-0.039593,0.07529,0,0.0099852,-0.00057309,0,-0.00057309,-0.003007,0,0,0,0,99.815,-4.4084,0,-4.4084,-0.12514,0,0,0,23.005,2.3593,12,0
-0.040348,0.078515,0,0.0098396,-0.00056618,0,-0.00056618,-0.0029722,0,0,0,0,98.329,-4.3552,0,-4.3552,-0.22297,0,0,0,22.64,2.2761,12,0
-0.041126,0.081968,0,0.0096813,-0.00056605,0,-0.00056605,-0.002922,0,0,0,0,96.755,-4.3542,0,-4.3542,-0.19354,0,0,0,22.284,2.1886,12,0
0.00012843,0.026819,0,-0.00076812,-3.8738e-05,0,-3.8738e-05,0.0025025,0,0,0,0,-0.1909,-0.29798,0,-0.29798,24.968,0,0,0,5.7177,5.9998,9.0497,0
0.00012956,0.026944,0,-0.00077034,-8.8753e-05,0,-8.8753e-05,0.0025593,0,0,0,0,-0.027984,-0.68272,0,-0.68272,25.585,0,0,0,5.8977,5.9992,9.0994,0
0.0001285,0.027071,0,-0.00078066,-0.00010046,0,-0.00010046,0.0025503,0,0,0,0,-0.17102,-0.77273,0,-0.77273,25.452,0,0,0,5.8341,5.9981,9.1491,0
0.00012671,0.0272,0,-0.00077915,-0.00013779,0,-0.00013779,0.0025964,0,0,0,0,-0.002656,-1.0599,0,-1.0599,25.963,0,0,0,5.9908,5.9966,9.1987,0
0.000125,0.027329,0,-0.00077816,-0.00014869,0,-0.00014869,0.0025526,0,0,0,0,-0.13618,-1.1437,0,-1.1437,25.485,0,0,0,5.8497,5.9946,9.2484,0
0.00012355,0.027458,0,-0.00076955,-0.00019398,0,-0.00019398,0.0025886,0,0,0,0,0.077299,-1.4921,0,-1.4921,25.909,0,0,0,5.9969,5.9922,9.298,0
0.00012236,0.027588,0,-0.00076788,-0.00020613,0,-0.00020613,0.0025333,0,0,0,0,-0.08657,-1.5856,0,-1.5856,25.307,0,0,0,5.8202,5.9893,9.3476,0
0.00012132,0.027716,0,-0.00075426,-0.00025766,0,-0.00025766,0.0025644,0,0,0,0,0.16561,-1.982,0,-1.982,25.694,0,0,0,5.9676,5.9859,9.3972,0
0.00012042,0.027845,0,-0.00075233,-0.00027002,0,-0.00027002,0.0025039,0,0,0,0,-0.012821,-2.0771,0,-2.0771,25.035,0,0,0,5.7743,5.982,9.4467,0
0.00011963,0.027973,0,-0.00073636,-0.0003253,0,-0.0003253,0.0025357,0,0,0,0,0.2677,-2.5023,0,-2.5023,25.438,0,0,0,5.932,5.9776,9.4962,0
0.00011911,0.028101,0,-0.00073248,-0.00033625,0,-0.00033625,0.0024679,0,0,0,0,0.086706,-2.5865,0,-2.5865,24.705,0,0,0,5.7212,5.9726,9.5457,0
0.00011901,0.028229,0,-0.0007162,-0.00039312,0,-0.00039312,0.0025025,0,0,0,0,0.37976,-3.024,0,-3.024,25.139,0,0,0,5.889,5.9671,9.595,0
0.00011964,0.028357,0,-0.00070873,-0.00040054,0,-0.00040054,0.0024258,0,0,0,0,0.20885,-3.0811,0,-3.0811,24.32,0,0,0,5.6606,5.9611,9.6444,0
0.00012122,0.028484,0,-0.00069017,-0.00045691,0,-0.00045691,0.0024533,0,0,0,0,0.5035,-3.5147,0,-3.5147,24.684,0,0,0,5.8125,5.9545,9.6936,0
